competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,flavour_count,composite_score
Snickers,1,0,1,1,1,0,0,1,0,0.55,0.65,76.67,4,31.0
Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60,0.65,59.53,4,24.1
Baby Ruth,1,0,1,1,1,0,0,1,0,0.60,0.77,56.91,4,23.1
Twix,1,0,1,0,0,1,0,1,0,0.55,0.91,81.64,3,32.9
Milky Way,1,0,1,0,1,0,0,1,0,0.60,0.65,73.10,3,29.6
100 Grand,1,0,1,0,0,1,0,1,0,0.73,0.86,66.97,3,27.1
Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73,0.44,60.80,3,24.7
Reese's Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72,0.65,84.18,2,34.0
Reese's Miniatures,1,0,0,1,0,0,0,0,0,0.03,0.28,81.87,2,32.9
Kit Kat,1,0,0,0,0,1,0,1,0,0.31,0.51,76.77,2,30.9
Reese's stuffed with pieces,1,0,0,1,0,0,0,0,0,0.99,0.65,72.89,2,29.6
Reese's pieces,1,0,0,1,0,0,0,0,1,0.41,0.65,73.43,2,29.6
Peanut butter M&M's,1,0,0,1,0,0,0,0,1,0.82,0.65,71.47,2,29.0
Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60,0.77,70.74,2,28.6
Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59,0.65,69.48,2,28.1
3 Musketeers,1,0,0,0,1,0,0,1,0,0.60,0.51,67.60,2,27.4
Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31,0.77,66.47,2,26.8
Rolo,1,0,1,0,0,0,0,0,1,0.86,0.86,65.72,2,26.7
Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96,0.86,64.35,2,26.2
Hershey's Krackel,1,0,0,0,0,1,0,1,0,0.43,0.92,62.28,2,25.1
Milk Duds,1,0,1,0,0,0,0,0,1,0.30,0.51,55.06,2,22.2
Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31,0.92,54.53,2,22.0
Almond Joy,1,0,0,1,0,0,0,1,0,0.47,0.77,50.35,2,20.4
Whoppers,1,0,0,0,0,1,0,0,1,0.87,0.85,49.52,2,20.2
Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60,0.32,48.98,2,20.0
Payday,0,0,0,1,1,0,0,1,0,0.47,0.77,46.30,2,18.8
Charleston Chew,1,0,0,0,1,0,0,1,0,0.60,0.51,38.98,2,15.9
Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60,0.32,34.52,2,14.2
Starburst,0,1,0,0,0,0,0,0,1,0.15,0.22,67.04,1,27.0
M&M's,1,0,0,0,0,0,0,0,1,0.82,0.65,66.57,1,27.0
Skittles original,0,1,0,0,0,0,0,0,1,0.94,0.22,63.09,1,25.8
